Company Name,Address,Website,Google Maps URL,Industry Type,Customer Type
FERROPOLIS PERU - Tienda Minorista Mayorista de productos ferreteros,"de Ventanilla, Calle guanay MZ c12' LT12, Ventanilla 07046, Peru",http://www.ferropolisperu.com/,https://www.google.com/maps/place/?q=place_id:ChIJgTY0ho3TBZER2799QfA0RDE,Hardware,Unknown
Anupam Hardware,"Shop no 1, shayadri Building, Aarey Rd, near pritam hotel, Peru Baug, Jay Prakash Nagar, Goregaon East, Mumbai, Maharashtra 400063, India",,https://www.google.com/maps/place/?q=place_id:ChIJlTbV2Mq35zsRJtjIODL4UsU,Hardware,Unknown
Mahavir Alluminium & Hardware,"Shop No.2/3,Dalvi Building, Aarey Rd, Peru Baug, Churi Wadi, Goregaon East, Mumbai, Maharashtra 400063, India",,https://www.google.com/maps/place/?q=place_id:ChIJYftx3qy35zsRdcOOjbkGzNY,Hardware,Unknown
Hardware Solutions Peru,"Mz C Lt 8 Asc. Villa, Av. San Remo, Puente Piedra 15117, Peru",,https://www.google.com/maps/place/?q=place_id:ChIJAc-Gy9DRBZER_g92SHaMbzM,Hardware,Unknown
